Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,RIMOGNE,1,0,0,0,0,08,08RIMOGNE,8365,2016
nan,ROCROI,1,0,0,0,0,08,08ROCROI,8367,2016
nan,SEDAN,8,2,0,0,0,08,08SEDAN,8409,2016
nan,VILLERS SEMEUSE,2,0,0,0,0,08,08VILLERS SEMEUSE,8480,2016
nan,VIREUX WALLERAND,1,0,0,0,0,08,08VIREUX WALLERAND,8487,2016
nan,VIVIER AU COURT,2,0,0,0,0,08,08VIVIER AU COURT,8488,2016
nan,VRIGNE AUX BOIS,2,0,0,0,0,08,08VRIGNE AUX BOIS,8491,2016
Ariège (09),AX LES THERMES,2,1,1,0,0,09,09AX LES THERMES,9032,2016
Foix,FOIX,3,3,0,0,0,09,09FOIX,9122,2016
nan,LAVELANET,2,1,0,0,0,09,09LAVELANET,9160,2016
nan,MAZERES,1,0,0,0,0,09,09MAZERES,9185,2016
nan,MERCUS GARRABET,1,0,1,0,0,09,09MERCUS GARRABET,9188,2016
nan,MONTGAILHARD,0,0,1,0,0,09,09MONTGAILHARD,9207,2016
nan,PAMIERS,6,3,0,0,0,09,09PAMIERS,9225,2016
nan,SAURAT,0,1,0,0,0,09,09SAURAT,9280,2016
nan,SAINT GIRONS,2,4,0,0,0,09,09SAINT GIRONS,9261,2016
nan,SAINT LIZIER,0,0,1,0,0,09,09SAINT LIZIER,9268,2016
nan,SAVERDUN,2,1,0,0,0,09,09SAVERDUN,9282,2016
nan,TARASCON SUR ARIEGE,2,0,0,0,0,09,09TARASCON SUR ARIEGE,9306,2016
nan,TOUR DU CRIEU,0,0,1,0,0,09,09TOUR DU CRIEU,9312,2016
nan,USTOU,0,0,1,0,0,09,09USTOU,9322,2016
