Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année,Nombre d habitants,Nom Département
nan,MONTGENEVRE,0,4.0,0,0,05,05MONTGENEVRE,5085,2016,0.0,0
nan,SAINT BONNET EN CHAMPSAUR,0,1.0,0,0,05,05SAINT BONNET EN CHAMPSAUR,5132,2016,0.0,0
nan,DEVOLUY,0,1.0,0,0,05,05DEVOLUY,5139,2016,0.0,0
nan,PUY SAINT VINCENT,0,5.0,0,0,05,05PUY SAINT VINCENT,5110,2016,0.0,0
nan,BAR SUR LOUP,2,1.0,0,0,06,06BAR SUR LOUP,6010,2016,0.0,0
nan,BEAULIEU SUR MER,7,3.0,0,0,06,06BEAULIEU SUR MER,6011,2016,0.0,0
nan,BEAUSOLEIL,17,8.0,0,2,06,06BEAUSOLEIL,6012,2016,0.0,0
nan,BIOT,16,0.0,0,0,06,06BIOT,6018,2016,0.0,0
nan,BREIL SUR ROYA,1,1.0,0,0,06,06BREIL SUR ROYA,6023,2016,0.0,0
nan,CAGNES SUR MER,31,23.0,0,0,06,06CAGNES SUR MER,6027,2016,0.0,0
nan,CANNES,196,52.0,0,3,06,06CANNES,6029,2016,0.0,0
nan,CAP D AIL,3,4.0,0,0,06,06CAP D AIL,6032,2016,0.0,0
nan,CARROS,17,0.0,0,0,06,06CARROS,6033,2016,0.0,0
nan,COLOMARS,1,2.0,0,0,06,06COLOMARS,6046,2016,0.0,0
nan,EZE,5,3.0,0,0,06,06EZE,6059,2016,0.0,0
nan,FALICON,1,1.0,0,0,06,06FALICON,6060,2016,0.0,0
nan,GRASSE,52,7.0,0,0,06,06GRASSE,6069,2016,0.0,0
nan,ISOLA,1,0.0,0,0,06,06ISOLA,6073,2016,0.0,0
nan,COLLE SUR LOUP,7,3.0,0,0,06,06COLLE SUR LOUP,6044,2016,0.0,0
nan,GAUDE,4,0.0,0,0,06,06GAUDE,6065,2016,0.0,0
nan,ROQUETTE SUR SIAGNE,5,3.0,0,0,06,06ROQUETTE SUR SIAGNE,6108,2016,0.0,0
nan,TRINITE,12,4.0,0,0,06,06TRINITE,6149,2016,0.0,0
nan,TURBIE,5,0.0,0,0,06,06TURBIE,6150,2016,0.0,0
nan,CANNET,63,25.0,0,0,06,06CANNET,6030,2016,0.0,0
nan,ROURET,2,0.0,0,0,06,06ROURET,6112,2016,0.0,0
nan,TIGNET,1,0.0,0,0,06,06TIGNET,6140,2016,0.0,0
nan,LEVENS,1,0.0,0,0,06,06LEVENS,6075,2016,0.0,0
nan,MANDELIEU LA NAPOULE,41,14.0,0,0,06,06MANDELIEU LA NAPOULE,6079,2016,0.0,0
nan,PEILLE,1,0.0,0,0,06,06PEILLE,6091,2016,0.0,0
nan,PEYMEINADE,6,1.0,0,0,06,06PEYMEINADE,6095,2016,0.0,0
nan,ROQUEBRUNE CAP MARTIN,14,12.0,0,0,06,06ROQUEBRUNE CAP MARTIN,6104,2016,0.0,0
nan,ROQUEFORT LES PINS,3,2.0,0,0,06,06ROQUEFORT LES PINS,6105,2016,0.0,0
nan,SAINT ANDRE DE LA ROCHE,3,0.0,0,0,06,06SAINT ANDRE DE LA ROCHE,6114,2016,0.0,0
nan,SAINT CEZAIRE SUR SIAGNE,3,0.0,0,0,06,06SAINT CEZAIRE SUR SIAGNE,6118,2016,0.0,0
nan,SAINT JEAN CAP FERRAT,7,1.0,0,0,06,06SAINT JEAN CAP FERRAT,6121,2016,0.0,0
nan,SAINT JEANNET,3,0.0,0,0,06,06SAINT JEANNET,6122,2016,0.0,0
nan,SAINT LAURENT DU VAR,34,11.0,0,0,06,06SAINT LAURENT DU VAR,6123,2016,0.0,0
nan,SAINT PAUL DE VENCE,5,1.0,0,0,06,06SAINT PAUL DE VENCE,6128,2016,0.0,0
nan,SOSPEL,1,0.0,0,0,06,06SOSPEL,6136,2016,0.0,0
nan,THEOULE SUR MER,4,0.0,0,0,06,06THEOULE SUR MER,6138,2016,0.0,0
nan,TOURRETTE LEVENS,2,0.0,0,0,06,06TOURRETTE LEVENS,6147,2016,0.0,0
nan,VALBONNE,17,3.0,0,2,06,06VALBONNE,6152,2016,0.0,0
nan,VENCE,21,3.0,0,0,06,06VENCE,6157,2016,0.0,0
