CODGEO,Année,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,somme_ligne
7019,2017,13002.0,6,1.0,0,0,7.0
7019,2018,12645.0,6,2.0,0,0,8.0
7027,2017,1900.0,1,0.0,0,0,1.0
7027,2018,1900.0,1,0.0,0,0,1.0
7041,2017,2308.0,1,0.0,0,0,1.0
7041,2018,2300.0,1,0.0,0,0,1.0
7042,2017,7367.0,4,0.0,0,0,4.0
7042,2018,7367.0,4,0.0,0,0,4.0
7055,2017,2800.0,1,0.0,0,0,1.0
7055,2018,3000.0,1,0.0,0,0,1.0
7064,2017,3252.0,1,0.0,0,0,1.0
7064,2018,3252.0,1,0.0,0,0,1.0
7078,2017,3200.0,1,0.0,0,0,1.0
7078,2018,3200.0,1,0.0,0,0,1.0
7102,2017,11000.0,6,0.0,0,0,6.0
7102,2018,11600.0,6,0.0,0,0,6.0
7110,2017,1700.0,1,1.0,0,0,2.0
7110,2018,1749.0,1,1.0,0,0,2.0
7181,2017,2850.0,1,0.0,0,0,1.0
7181,2018,2850.0,2,0.0,0,0,2.0
7186,2017,8709.0,3,3.0,0,0,6.0
7186,2018,8729.0,3,3.0,0,0,6.0
7201,2017,2300.0,1,4.0,0,0,5.0
7201,2018,2300.0,1,4.0,0,0,5.0
7281,2017,7736.0,3,0.0,0,0,3.0
7281,2018,7800.0,3,0.0,0,0,3.0
7319,2017,8600.0,1,2.0,0,0,3.0
7319,2018,8793.0,2,2.0,0,0,4.0
7324,2017,11000.0,5,0.0,0,0,5.0
7324,2018,11423.0,5,0.0,0,0,5.0
7330,2017,2700.0,1,1.0,0,0,2.0
7330,2018,2500.0,1,1.0,0,0,2.0
8090,2017,2954.0,2,0.0,0,0,2.0
8090,2018,2900.0,2,0.0,0,0,2.0
8105,2017,47857.0,24,6.0,0,0,30.0
8105,2018,48000.0,34,6.0,0,0,40.0
8122,2017,746.0,1,0.0,0,0,1.0
8122,2018,760.0,1,0.0,0,0,1.0
8142,2017,2202.0,1,0.0,0,0,1.0
8142,2018,2200.0,1,0.0,0,0,1.0
8174,2017,2443.0,1,0.0,0,0,1.0
8174,2018,2449.0,1,0.0,0,0,1.0
8183,2017,1033.0,1,0.0,0,0,1.0
8183,2018,1068.0,1,0.0,0,0,1.0
8185,2017,3464.0,3,0.0,0,0,3.0
8185,2018,3534.0,3,0.0,0,0,3.0
8188,2017,1097.0,1,0.0,0,0,1.0
8188,2018,1069.0,1,0.0,0,0,1.0
8190,2017,6895.0,5,1.0,0,0,6.0
8190,2018,6920.0,6,1.0,0,0,7.0
8218,2017,1575.0,1,0.0,0,0,1.0
8218,2018,1553.0,1,0.0,0,0,1.0
8222,2017,2100.0,1,0.0,0,0,1.0
8222,2018,1950.0,1,0.0,0,0,1.0
8311,2017,2424.0,1,0.0,0,0,1.0
8311,2018,2542.0,1,0.0,0,0,1.0
8327,2017,2274.0,0,1.0,0,0,1.0
8327,2018,2321.0,0,1.0,0,0,1.0
8367,2017,2375.0,1,0.0,0,0,1.0
8367,2018,2377.0,1,0.0,0,0,1.0
8409,2017,17675.0,8,2.0,0,0,10.0
8409,2018,17000.0,8,2.0,0,0,10.0
8480,2017,3594.0,2,0.0,0,0,2.0
8480,2018,3668.0,2,0.0,0,0,2.0
8487,2017,2074.0,1,0.0,0,0,1.0
8487,2018,2045.0,1,0.0,0,0,1.0
8488,2017,3008.0,2,0.0,0,0,2.0
8488,2018,3034.0,2,0.0,0,0,2.0
8491,2017,3827.0,2,0.0,0,0,2.0
8491,2018,3827.0,2,0.0,0,0,2.0
9032,2017,1244.0,2,1.0,1,0,4.0
