Dep,Nom Ville,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,BEAUSOLEIL,13742,20,9,0,2,2,06,06BEAUSOLEIL,6012,2017
nan,BIOT,10158,15,0,0,0,0,06,06BIOT,6018,2017
nan,BLAUSASC,1467,0,0,1,0,0,06,06BLAUSASC,6019,2017
nan,BREIL SUR ROYA,2324,1,0,0,0,0,06,06BREIL SUR ROYA,6023,2017
nan,CAGNES SUR MER,49799,35,18,0,0,0,06,06CAGNES SUR MER,6027,2017
nan,CANNES,75226,196,58,0,5,3,06,06CANNES,6029,2017
nan,CAP D AIL,4768,3,5,0,0,0,06,06CAP D AIL,6032,2017
nan,CARROS,12162,17,0,0,0,0,06,06CARROS,6033,2017
nan,COLOMARS,3420,2,1,0,0,0,06,06COLOMARS,6046,2017
nan,CONTES,7520,0,0,1,0,0,06,06CONTES,6048,2017
nan,DRAP,4483,0,0,1,0,0,06,06DRAP,6054,2017
nan,EZE,2403,5,2,0,0,0,06,06EZE,6059,2017
nan,FALICON,2007,1,1,0,0,0,06,06FALICON,6060,2017
nan,GATTIERES,4164,0,1,0,0,0,06,06GATTIERES,6064,2017
nan,GOURDON,406,0,0,1,0,0,06,06GOURDON,6068,2017
nan,GRASSE,51994,52,6,0,0,0,06,06GRASSE,6069,2017
nan,ISOLA,695,1,0,0,0,0,06,06ISOLA,6073,2017
nan,COLLE SUR LOUP,8049,7,3,0,0,0,06,06COLLE SUR LOUP,6044,2017
nan,GAUDE,6563,4,0,0,0,0,06,06GAUDE,6065,2017
nan,ROQUETTE SUR SIAGNE,5537,5,3,0,0,0,06,06ROQUETTE SUR SIAGNE,6108,2017
nan,TRINITE,10285,11,4,0,0,0,06,06TRINITE,6149,2017
nan,TURBIE,3160,5,0,0,0,0,06,06TURBIE,6150,2017
nan,BROC,1429,0,1,0,0,0,06,06BROC,6025,2017
nan,CANNET,42016,67,26,0,0,0,06,06CANNET,6030,2017
nan,ROURET,4119,2,0,0,0,0,06,06ROURET,6112,2017
nan,TIGNET,3391,1,0,0,0,0,06,06TIGNET,6140,2017
nan,LEVENS,4786,1,0,0,0,0,06,06LEVENS,6075,2017
nan,MANDELIEU LA NAPOULE,22558,41,14,0,0,0,06,06MANDELIEU LA NAPOULE,6079,2017
nan,MENTON,28732,27,20,0,0,0,06,06MENTON,6083,2017
nan,MOUANS SARTOUX,9802,14,4,0,0,0,06,06MOUANS SARTOUX,6084,2017
nan,MOUGINS,18819,43,1,0,0,0,06,06MOUGINS,6085,2017
nan,NICE,346055,436,193,0,0,9,06,06NICE,6088,2017
nan,OPIO,2295,1,1,0,0,0,06,06OPIO,6089,2017
nan,PEGOMAS,7931,6,2,0,0,0,06,06PEGOMAS,6090,2017
nan,PEILLE,2373,1,0,0,0,0,06,06PEILLE,6091,2017
nan,PUGET THENIERS,1963,0,1,0,0,0,06,06PUGET THENIERS,6099,2017
nan,PEYMEINADE,8262,5,1,0,0,0,06,06PEYMEINADE,6095,2017
nan,ROQUEBRUNE CAP MARTIN,12845,16,11,0,0,0,06,06ROQUEBRUNE CAP MARTIN,6104,2017
nan,ROQUEFORT LES PINS,6807,3,2,0,0,0,06,06ROQUEFORT LES PINS,6105,2017
nan,SAINT ANDRE DE LA ROCHE,5457,3,0,0,0,0,06,06SAINT ANDRE DE LA ROCHE,6114,2017
nan,SAINT CEZAIRE SUR SIAGNE,4010,2,2,0,0,0,06,06SAINT CEZAIRE SUR SIAGNE,6118,2017
nan,SAINT ETIENNE DE TINEE,1632,0,1,1,0,0,06,06SAINT ETIENNE DE TINEE,6120,2017
nan,SAINT JEAN CAP FERRAT,1647,10,2,0,0,0,06,06SAINT JEAN CAP FERRAT,6121,2017
nan,SAINT JEANNET,4174,5,0,0,0,0,06,06SAINT JEANNET,6122,2017
nan,SAINT LAURENT DU VAR,29112,38,11,0,0,0,06,06SAINT LAURENT DU VAR,6123,2017
nan,SAINT MARTIN VESUBIE,1402,1,1,0,0,0,06,06SAINT MARTIN VESUBIE,6127,2017
nan,SAINT PAUL DE VENCE,3521,5,1,0,0,0,06,06SAINT PAUL DE VENCE,6128,2017
