CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
30085,2018,1.0,1153.0,30085,2018,93
34214,2017,1.0,1153.0,34214,2017,14
30085,2017,2.0,1153.0,30085,2017,89
89167,2017,1.0,1154.0,89167,2017,14
77001,2018,1.0,1159.0,77001,2018,26
38515,2018,1.0,1160.0,38515,2018,21
68277,2017,4.0,1161.0,68277,2017,48
9188,2018,1.0,1162.0,9188,2018,0
62712,2017,1.0,1162.0,62712,2017,0
1145,2018,1.0,1164.0,1145,2018,0
17285,2018,1.0,1164.0,17285,2018,58
4096,2017,1.0,1168.0,4096,2017,7
21554,2018,1.0,1168.0,21554,2018,19
47128,2017,1.0,1171.0,47128,2017,9
47128,2018,1.0,1171.0,47128,2018,11
17285,2017,1.0,1172.0,17285,2017,77
34056,2017,1.0,1173.0,34056,2017,29
34056,2018,1.0,1173.0,34056,2018,21
77001,2017,1.0,1174.0,77001,2017,14
26138,2017,1.0,1178.0,26138,2017,0
67310,2017,1.0,1182.0,67310,2017,0
91109,2017,1.0,1185.0,91109,2017,11
67310,2018,1.0,1186.0,67310,2018,0
1108,2018,1.0,1187.0,1108,2018,7
1108,2017,1.0,1193.0,1108,2017,7
3140,2017,1.0,1194.0,3140,2017,7
13095,2018,1.0,1200.0,13095,2018,6
13095,2017,1.0,1200.0,13095,2017,5
22215,2018,2.0,1202.0,22215,2018,336
3140,2018,1.0,1203.0,3140,2018,7
67329,2018,1.0,1211.0,67329,2018,0
64320,2018,1.0,1211.0,64320,2018,0
1181,2017,2.0,1213.0,1181,2017,9
24164,2018,1.0,1216.0,24164,2018,7
91109,2018,1.0,1216.0,91109,2018,6
17121,2017,1.0,1219.0,17121,2017,130
64320,2017,1.0,1220.0,64320,2017,0
22218,2017,2.0,1220.0,22218,2017,28
43096,2017,1.0,1222.0,43096,2017,0
43096,2018,1.0,1222.0,43096,2018,0
1181,2018,2.0,1223.0,1181,2018,9
72336,2018,1.0,1229.0,72336,2018,14
38528,2017,1.0,1230.0,38528,2017,0
9032,2018,4.0,1231.0,9032,2018,131
17121,2018,3.0,1233.0,17121,2018,135
67167,2017,1.0,1233.0,67167,2017,0
